depth,frontier,generated,unique_candidates,batch_duplicate_occurrences,unique_visited_hits,accepted,cumulative_visited
0,1,7,7,0,0,7,1
1,7,49,28,21,1,27,8
2,27,189,83,106,7,76,35
3,76,532,201,331,27,174,111
4,174,1218,419,799,76,343,285
5,343,2401,776,1625,174,602,628
6,602,4214,1304,2910,343,961,1230
7,961,6727,2017,4710,602,1415,2191
8,1415,9905,2901,7004,961,1940,3606
9,1940,13580,3908,9672,1415,2493,5546
10,2493,17451,4957,12494,1940,3017,8039
11,3017,21119,5943,15176,2493,3450,11056
12,3450,24150,6753,17397,3017,3736,14506
13,3736,26152,7286,18866,3450,3836,18242
14,3836,26852,7472,19380,3736,3736,22078
15,3736,26152,7286,18866,3836,3450,25814
16,3450,24150,6753,17397,3736,3017,29264
17,3017,21119,5943,15176,3450,2493,32281
18,2493,17451,4957,12494,3017,1940,34774
19,1940,13580,3908,9672,2493,1415,36714
20,1415,9905,2901,7004,1940,961,38129
21,961,6727,2017,4710,1415,602,39090
22,602,4214,1304,2910,961,343,39692
23,343,2401,776,1625,602,174,40035
24,174,1218,419,799,343,76,40209
25,76,532,201,331,174,27,40285
26,27,189,83,106,76,7,40312
27,7,49,28,21,27,1,40319
28,1,7,7,0,7,0,40320
