strategy,max_frontier_imbalance,max_recv_imbalance,remote_fraction,cross_rank_duplicates,final_visited_imbalance
rank_mod,2.114943,2.322581,0.635900878,133886,1.000000
rank_range,4.505747,4.000000,0.333377431,40306,1.000000
mul_high,1.195402,1.122807,0.911733273,157028,1.000397
mix_00,1.287356,1.532934,0.875729175,157302,1.017857
mix_01,1.379310,1.526012,0.874947430,157142,1.022619
mix_02,1.609195,1.942197,0.874328507,157451,1.027183
mix_03,1.282799,1.580838,0.875242323,157680,1.024008
mix_04,1.655172,1.541126,0.874065053,157477,1.027183
mix_05,1.747126,1.476395,0.875186934,157414,1.019444
mix_06,1.329446,1.714286,0.874933314,157419,1.019246
mix_07,1.333333,1.600000,0.874313401,157128,1.016667
mix_08,1.492711,1.452471,0.875952012,157673,1.028571
mix_09,1.352770,1.485030,0.874978989,157338,1.020437
mix_10,1.399417,1.590643,0.875209117,157865,1.026389
mix_11,1.352770,1.664740,0.874597167,157674,1.034722
mix_12,1.471264,1.927711,0.874931358,157919,1.039881
mix_13,1.471264,1.493976,0.876137309,157424,1.022222
mix_14,1.259475,1.835294,0.874074634,157646,1.010714
mix_15,1.287356,1.403509,0.874960117,157558,1.020833
mix_16,1.241379,1.619048,0.876548130,157714,1.022222
mix_17,1.425287,1.766871,0.875681163,157741,1.018651
mix_18,1.379310,1.523810,0.874373631,157640,1.021032
mix_19,1.352770,1.793939,0.875667029,157545,1.016865
mix_20,1.241379,2.090909,0.874541376,157847,1.016667
mix_21,1.517241,1.420118,0.874950097,157323,1.023214
mix_22,1.342193,1.761006,0.875428226,157554,1.018651
mix_23,1.379310,1.707317,0.875698031,157532,1.022817
mix_24,1.302326,1.906977,0.875420748,157331,1.026389
mix_25,1.461794,1.674419,0.875713241,157360,1.022619
mix_26,1.287356,1.590643,0.876097688,157590,1.023214
mix_27,1.333333,1.485030,0.875856711,157482,1.020238
mix_28,1.376093,1.590643,0.875523583,157624,1.030754
mix_29,1.282799,1.389222,0.874467996,157612,1.021627
mix_30,1.563218,2.022472,0.876009593,157453,1.037500
mix_31,1.563218,1.824561,0.875451377,157799,1.015873
