depth,frontier,target,bidirectional_generated,unidirectional_level_generated,reduction_fraction,bidirectional_expanded,forward_visited,reverse_visited
0,1,01234567,0,0,0.000000000,0,1,1
1,7,10234567,7,7,0.000000000,1,8,1
2,27,12034567,14,56,0.750000000,2,8,8
3,76,21034567,63,245,0.742857143,9,35,8
4,174,21304567,112,777,0.855855856,16,35,35
5,343,23104567,301,1995,0.849122807,43,111,35
6,602,32104567,490,4396,0.888535032,70,111,111
7,961,32140567,1022,8610,0.881300813,146,285,111
8,1415,32410567,1554,15337,0.898676403,222,285,285
9,1940,34210567,2772,25242,0.890183028,396,628,285
10,2493,43210567,3990,38822,0.897223224,570,628,628
11,3017,43215067,6391,56273,0.886428660,913,1230,628
12,3450,43251067,8792,77392,0.886396527,1256,1230,1230
13,3736,43521067,13006,101542,0.871915070,1858,2191,1230
14,3836,45321067,17220,127694,0.865146366,2460,2191,2191
15,3736,54321067,23947,154546,0.845049370,3421,3606,2191
16,3450,54321607,30674,180698,0.830247153,4382,3606,3606
17,3017,54326107,40579,204848,0.801906780,5797,5546,3606
18,2493,54362107,50484,225967,0.776586847,7212,5546,5546
19,1940,54632107,64064,243418,0.736814862,9152,8039,5546
20,1415,56432107,77644,256998,0.697880917,11092,8039,8039
21,961,65432107,95095,266903,0.643709512,13585,11056,8039
22,602,65432170,112546,273630,0.588692760,16078,11056,11056
23,343,65432710,133665,277844,0.518920689,19095,14506,11056
24,174,65437210,154784,280245,0.447683277,22112,14506,14506
25,76,65473210,178934,281463,0.364271680,25562,18242,14506
26,27,65743210,203084,281995,0.279831203,29012,18242,18242
27,7,67543210,229236,282184,0.187636436,32748,22078,18242
28,1,76543210,255388,282233,0.095116446,36484,22078,22078
