depth,target,candidate,parent_batch_32,parent_batch_256,parent_batch_1024,level,bidirectional
0,01234567,0,0,0,0,0,0
1,10234567,1,7,7,7,7,7
2,12034567,9,56,56,56,56,14
3,21034567,57,245,245,245,245,63
4,21304567,248,469,777,777,777,112
5,23104567,779,1001,1995,1995,1995,301
6,32104567,1996,2219,3787,4396,4396,490
7,32140567,4400,4620,6188,8610,8610,1022
8,32410567,8613,8834,10402,15337,15337,1554
9,34210567,15339,15561,17129,22505,25242,2772
10,43210567,25243,25466,27034,32410,38822,3990
11,43215067,38827,39046,40614,45990,56273,6391
12,43251067,56277,56497,58065,63441,77392,8792
13,43521067,77395,77616,79184,84560,101542,13006
14,45321067,101544,101766,103334,108710,127694,17220
15,54321067,127695,127918,129486,134862,154546,23947
16,54321607,154552,154770,156338,161714,180698,30674
17,54326107,180703,180922,182490,187866,204848,40579
18,54362107,204852,205072,206640,212016,225967,50484
19,54632107,225970,226191,227759,233135,243418,64064
20,56432107,243420,243642,245210,250586,256998,77644
21,65432107,256999,257222,258790,264166,266903,95095
22,65432170,266910,267127,268695,273630,273630,112546
23,65432710,273636,273854,275422,277844,277844,133665
24,65437210,277849,278068,279636,280245,280245,154784
25,65473210,280249,280469,281463,281463,281463,178934
26,65743210,281466,281687,281995,281995,281995,203084
27,67543210,281997,282184,282184,282184,282184,229236
28,76543210,282185,282233,282233,282233,282233,255388
