depth,target,smaller_frontier_generated,smaller_frontier_expanded,smaller_frontier_rounds,smaller_frontier_forward_rounds,smaller_frontier_reverse_rounds,alternating_generated,alternating_expanded,alternating_rounds,alternating_forward_rounds,alternating_reverse_rounds,estimated_work_generated,estimated_work_expanded,estimated_work_rounds,estimated_work_forward_rounds,estimated_work_reverse_rounds
0,01234567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10234567,7,1,1,1,0,7,1,1,1,0,7,1,1,1,0
2,12034567,14,2,2,1,1,14,2,2,1,1,14,2,2,1,1
3,21034567,63,9,3,2,1,63,9,3,2,1,63,9,3,2,1
4,21304567,112,16,4,2,2,112,16,4,2,2,112,16,4,2,2
5,23104567,301,43,5,3,2,301,43,5,3,2,301,43,5,3,2
6,32104567,490,70,6,3,3,490,70,6,3,3,490,70,6,3,3
7,32140567,1022,146,7,4,3,1022,146,7,4,3,1022,146,7,4,3
8,32410567,1554,222,8,4,4,1554,222,8,4,4,1554,222,8,4,4
9,34210567,2772,396,9,5,4,2772,396,9,5,4,2772,396,9,5,4
10,43210567,3990,570,10,5,5,3990,570,10,5,5,3990,570,10,5,5
11,43215067,6391,913,11,6,5,6391,913,11,6,5,6391,913,11,6,5
12,43251067,8792,1256,12,6,6,8792,1256,12,6,6,8792,1256,12,6,6
13,43521067,13006,1858,13,7,6,13006,1858,13,7,6,13006,1858,13,7,6
14,45321067,17220,2460,14,7,7,17220,2460,14,7,7,17220,2460,14,7,7
15,54321067,23947,3421,15,8,7,23947,3421,15,8,7,23947,3421,15,8,7
16,54321607,30674,4382,16,8,8,30674,4382,16,8,8,30674,4382,16,8,8
17,54326107,40579,5797,17,9,8,40579,5797,17,9,8,40579,5797,17,9,8
18,54362107,50484,7212,18,9,9,50484,7212,18,9,9,50484,7212,18,9,9
19,54632107,64064,9152,19,10,9,64064,9152,19,10,9,64064,9152,19,10,9
20,56432107,77644,11092,20,10,10,77644,11092,20,10,10,77644,11092,20,10,10
21,65432107,95095,13585,21,11,10,95095,13585,21,11,10,95095,13585,21,11,10
22,65432170,112546,16078,22,11,11,112546,16078,22,11,11,112546,16078,22,11,11
23,65432710,133665,19095,23,12,11,133665,19095,23,12,11,133665,19095,23,12,11
24,65437210,154784,22112,24,12,12,154784,22112,24,12,12,154784,22112,24,12,12
25,65473210,178934,25562,25,13,12,178934,25562,25,13,12,178934,25562,25,13,12
26,65743210,203084,29012,26,13,13,203084,29012,26,13,13,203084,29012,26,13,13
27,67543210,229236,32748,27,14,13,229236,32748,27,14,13,229236,32748,27,14,13
28,76543210,255388,36484,28,14,14,255388,36484,28,14,14,255388,36484,28,14,14
