depth,target,strategy,world_size,rounds,generated,remote_generated,source_duplicates_removed,source_unique,remote_after_source_dedup,owner_duplicates_removed,intersections_discovered,first_intersection_round,rounds_after_first_intersection,remote_generated_fraction,remote_after_fraction,max_frontier_skew,peak_round_frontier,peak_round_skew,max_frontier_skew_ge_128
2,12034567,direct,1,2,14,0,0,14,0,0,1,2,0,0.0,0.0,1.0,1,1.0,
2,12034567,direct,2,2,14,2,0,14,2,0,1,2,0,0.14285714285714285,0.14285714285714285,2.0,1,2.0,
2,12034567,direct,4,2,14,6,0,14,6,0,1,2,0,0.42857142857142855,0.42857142857142855,4.0,1,4.0,
2,12034567,direct,8,2,14,6,0,14,6,0,1,2,0,0.42857142857142855,0.42857142857142855,8.0,1,8.0,
2,12034567,mixed,1,2,14,0,0,14,0,0,1,2,0,0.0,0.0,1.0,1,1.0,
2,12034567,mixed,2,2,14,8,0,14,8,0,1,2,0,0.5714285714285714,0.5714285714285714,2.0,1,2.0,
2,12034567,mixed,4,2,14,13,0,14,13,0,1,2,0,0.9285714285714286,0.9285714285714286,4.0,1,4.0,
2,12034567,mixed,8,2,14,13,0,14,13,0,1,2,0,0.9285714285714286,0.9285714285714286,8.0,1,8.0,
8,32410567,direct,1,8,1554,0,916,638,0,0,8,8,0,0.0,0.0,1.0,76,1.0,
8,32410567,direct,2,8,1554,276,656,898,276,260,8,8,0,0.1776061776061776,0.30734966592427615,2.0,76,1.4473684210526316,
8,32410567,direct,4,8,1554,708,359,1195,645,557,8,8,0,0.4555984555984556,0.5397489539748954,4.0,76,1.6842105263157894,
8,32410567,direct,8,8,1554,717,315,1239,695,601,8,8,0,0.4613899613899614,0.5609362389023406,8.0,76,2.526315789473684,
8,32410567,mixed,1,8,1554,0,916,638,0,0,8,8,0,0.0,0.0,1.0,76,1.0,
8,32410567,mixed,2,8,1554,807,609,945,484,307,8,8,0,0.5193050193050193,0.5121693121693122,2.0,76,1.0,
8,32410567,mixed,4,8,1554,1162,361,1193,889,555,8,8,0,0.7477477477477478,0.7451802179379715,4.0,76,1.263157894736842,
8,32410567,mixed,8,8,1554,1337,195,1359,1172,721,8,8,0,0.8603603603603603,0.8623988226637234,8.0,76,1.368421052631579,
14,45321067,direct,1,14,17220,0,11584,5636,0,0,52,14,0,0.0,0.0,1.0,602,1.0,1.0
