depth,strategy,world_size,format,key_bytes,parent_bytes,move_bytes,remote_candidates,remote_only_accepted,accept_bitmap_bytes,remote_only_accept_fraction,eager_bytes,two_phase_bytes,two_phase_reduction_fraction,hybrid_bytes,hybrid_reduction_fraction,hybrid_two_phase_rounds,hybrid_eager_rounds
2,direct,2,packed_rank16,2,2,1,2,2,2,1.0,10,12,-0.19999999999999996,10,0.0,0,2
2,direct,2,packed_rank32,4,4,1,2,2,2,1.0,18,20,-0.11111111111111116,18,0.0,0,2
2,direct,2,aligned_rank64,8,8,8,2,2,2,1.0,48,50,-0.04166666666666674,48,0.0,0,2
2,direct,2,state128_parent128,16,16,4,2,2,2,1.0,72,74,-0.02777777777777768,72,0.0,0,2
2,direct,4,packed_rank16,2,2,1,6,6,4,1.0,30,34,-0.1333333333333333,30,0.0,0,2
2,direct,4,packed_rank32,4,4,1,6,6,4,1.0,54,58,-0.07407407407407418,54,0.0,0,2
2,direct,4,aligned_rank64,8,8,8,6,6,4,1.0,144,148,-0.02777777777777768,144,0.0,0,2
2,direct,4,state128_parent128,16,16,4,6,6,4,1.0,216,220,-0.0185185185185186,216,0.0,0,2
2,direct,8,packed_rank16,2,2,1,6,6,6,1.0,30,36,-0.19999999999999996,30,0.0,0,2
2,direct,8,packed_rank32,4,4,1,6,6,6,1.0,54,60,-0.11111111111111116,54,0.0,0,2
2,direct,8,aligned_rank64,8,8,8,6,6,6,1.0,144,150,-0.04166666666666674,144,0.0,0,2
2,direct,8,state128_parent128,16,16,4,6,6,6,1.0,216,222,-0.02777777777777768,216,0.0,0,2
2,mixed,2,packed_rank16,2,2,1,8,8,2,1.0,40,42,-0.050000000000000044,40,0.0,0,2
2,mixed,2,packed_rank32,4,4,1,8,8,2,1.0,72,74,-0.02777777777777768,72,0.0,0,2
2,mixed,2,aligned_rank64,8,8,8,8,8,2,1.0,192,194,-0.01041666666666674,192,0.0,0,2
2,mixed,2,state128_parent128,16,16,4,8,8,2,1.0,288,290,-0.00694444444444442,288,0.0,0,2
2,mixed,4,packed_rank16,2,2,1,13,13,6,1.0,65,71,-0.0923076923076922,65,0.0,0,2
2,mixed,4,packed_rank32,4,4,1,13,13,6,1.0,117,123,-0.05128205128205132,117,0.0,0,2
2,mixed,4,aligned_rank64,8,8,8,13,13,6,1.0,312,318,-0.019230769230769162,312,0.0,0,2
2,mixed,4,state128_parent128,16,16,4,13,13,6,1.0,468,474,-0.012820512820512775,468,0.0,0,2
2,mixed,8,packed_rank16,2,2,1,13,13,9,1.0,65,74,-0.1384615384615384,65,0.0,0,2
2,mixed,8,packed_rank32,4,4,1,13,13,9,1.0,117,126,-0.07692307692307687,117,0.0,0,2
2,mixed,8,aligned_rank64,8,8,8,13,13,9,1.0,312,321,-0.028846153846153744,312,0.0,0,2
2,mixed,8,state128_parent128,16,16,4,13,13,9,1.0,468,477,-0.019230769230769162,468,0.0,0,2
8,direct,2,packed_rank16,2,2,1,276,16,42,0.057971014492753624,1380,642,0.5347826086956522,640,0.536231884057971,6,2
