graph,depth,nonbacktracking_words,frontier,occurrences,parent_returns,visited_nonparent,candidate_occurrences,unique_candidates,convergence_duplicates,accepted_next
Z31,0,1,1,2,0,0,2,2,0,2
Z31,1,2,2,4,2,0,2,2,0,2
Z31,2,2,2,4,2,0,2,2,0,2
Z31,3,2,2,4,2,0,2,2,0,2
Z31,4,2,2,4,2,0,2,2,0,2
Z31,5,2,2,4,2,0,2,2,0,2
Z31,6,2,2,4,2,0,2,2,0,2
Z31,7,2,2,4,2,0,2,2,0,2
Z31,8,2,2,4,2,0,2,2,0,2
Z31,9,2,2,4,2,0,2,2,0,2
Z31,10,2,2,4,2,0,2,2,0,2
Z31,11,2,2,4,2,0,2,2,0,2
Z31,12,2,2,4,2,0,2,2,0,2
Z31,13,2,2,4,2,0,2,2,0,2
Z31,14,2,2,4,2,0,2,2,0,2
Z31,15,2,2,4,2,2,0,0,0,0
Z8xZ8,0,1,1,4,0,0,4,4,0,4
Z8xZ8,1,4,4,16,4,0,12,8,4,8
Z8xZ8,2,12,8,32,8,4,20,12,8,12
Z8xZ8,3,36,12,48,12,8,28,14,14,14
Z8xZ8,4,108,14,56,14,14,28,12,16,12
Z8xZ8,5,324,12,48,12,16,20,8,12,8
Z8xZ8,6,972,8,32,8,12,12,4,8,4
Z8xZ8,7,2916,4,16,4,8,4,1,3,1
Z8xZ8,8,8748,1,4,1,3,0,0,0,0
S3,0,1,1,2,0,0,2,2,0,2
S3,1,2,2,4,2,0,2,2,0,2
S3,2,2,2,4,2,0,2,1,1,1
S3,3,2,1,2,1,1,0,0,0,0
